Date,Clicks,Impressions,CTR,Position
2026-04-12,2,538,0.37%,37
2026-04-13,10,781,1.28%,26.7
2026-04-14,8,704,1.14%,25.8
2026-04-15,5,805,0.62%,27.3
2026-04-16,5,674,0.74%,31.3
2026-04-17,3,791,0.38%,35.8
2026-04-18,3,528,0.57%,40.9
2026-04-19,1,642,0.16%,38.9
2026-04-20,5,961,0.52%,31.8
2026-04-21,8,879,0.91%,33.4
2026-04-22,6,792,0.76%,33.6
2026-04-23,4,957,0.42%,34.1
2026-04-24,3,735,0.41%,27.6
2026-04-25,1,624,0.16%,36.9
2026-04-26,4,1043,0.38%,40.5
